id,sku,name,slug,short_desc,description,long_description,specifications,features,category_id,unit_price,currency,stock_quantity,lead_time_days,weight_kg,dimensions,image_url,product_type,manufacturer,warranty_months,moq,is_active,is_featured,created_at,updated_at
80,DIS-0080,"Distributed Control System Package",distributed-control-system-package,"Professional grade Distributed Control System Package","Industrial Distributed Control System Package designed for extreme conditions.","","","",2,218597.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
81,RAD-0081,"Radar Level Transmitter",radar-level-transmitter,"Professional grade Radar Level Transmitter","Industrial Radar Level Transmitter designed for extreme conditions.","","","",5,246388.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
82,PRE-0082,"Pressure Transmitter Smart",pressure-transmitter-smart,"Professional grade Pressure Transmitter Smart","Industrial Pressure Transmitter Smart designed for extreme conditions.","","","",5,439606.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
83,TEM-0083,"Temperature Assembly RTD",temperature-assembly-rtd,"Professional grade Temperature Assembly RTD","Industrial Temperature Assembly RTD designed for extreme conditions.","","","",2,275934.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
84,PRO-0084,"Process Gas Chromatograph",process-gas-chromatograph,"Professional grade Process Gas Chromatograph","Industrial Process Gas Chromatograph designed for extreme conditions.","","","",2,196552.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
85,CON-0085,"Control Valve 6" Globe",control-valve-6-globe,"Professional grade Control Valve 6" Globe","Industrial Control Valve 6" Globe designed for extreme conditions.","","","",1,297143.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
86,SAF-0086,"Safety PLC System SIL 3",safety-plc-system-sil-3,"Professional grade Safety PLC System SIL 3","Industrial Safety PLC System SIL 3 designed for extreme conditions.","","","",2,180288.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
87,FIS-0087,"Fiscal Metering Skid",fiscal-metering-skid,"Professional grade Fiscal Metering Skid","Industrial Fiscal Metering Skid designed for extreme conditions.","","","",2,247540.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
88,VIB-0088,"Vibration Monitoring System",vibration-monitoring-system,"Professional grade Vibration Monitoring System","Industrial Vibration Monitoring System designed for extreme conditions.","","","",2,92195.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
89,SCA-0089,"SCADA System Complete",scada-system-complete,"Professional grade SCADA System Complete","Industrial SCADA System Complete designed for extreme conditions.","","","",5,323346.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
90,MUL-0090,"Multi-Function Calibrator",multi-function-calibrator,"Professional grade Multi-Function Calibrator","Industrial Multi-Function Calibrator designed for extreme conditions.","","","",2,396830.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
91,MUD-0091,"Mud Pump Major Overhaul Kit",mud-pump-major-overhaul-kit,"Professional grade Mud Pump Major Overhaul Kit","Industrial Mud Pump Major Overhaul Kit designed for extreme conditions.","","","",3,85096.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
92,BOP-0092,"BOP Stack Annual Service Kit",bop-stack-annual-service-kit,"Professional grade BOP Stack Annual Service Kit","Industrial BOP Stack Annual Service Kit designed for extreme conditions.","","","",3,346299.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
93,MEC-0093,"Mechanical Seal Kit API 682",mechanical-seal-kit-api-682,"Professional grade Mechanical Seal Kit API 682","Industrial Mechanical Seal Kit API 682 designed for extreme conditions.","","","",2,72127.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
94,CON-0094,"Control Valve Trim Set",control-valve-trim-set,"Professional grade Control Valve Trim Set","Industrial Control Valve Trim Set designed for extreme conditions.","","","",1,137005.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
95,COM-0095,"Compressor Bearing Set",compressor-bearing-set,"Professional grade Compressor Bearing Set","Industrial Compressor Bearing Set designed for extreme conditions.","","","",2,246934.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
96,HEA-0096,"Heat Exchanger Gasket Kit",heat-exchanger-gasket-kit,"Professional grade Heat Exchanger Gasket Kit","Industrial Heat Exchanger Gasket Kit designed for extreme conditions.","","","",2,101264.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
97,COM-0097,"Compressor Filter Element Set",compressor-filter-element-set,"Professional grade Compressor Filter Element Set","Industrial Compressor Filter Element Set designed for extreme conditions.","","","",2,214863.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
98,PUM-0098,"Pump Impeller Replacement",pump-impeller-replacement,"Professional grade Pump Impeller Replacement","Industrial Pump Impeller Replacement designed for extreme conditions.","","","",2,241717.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,0,2026-04-27 09:22:49,2026-04-27 09:22:49
99,COM-0099,"Compressor Piston Ring Set",compressor-piston-ring-set,"Professional grade Compressor Piston Ring Set","Industrial Compressor Piston Ring Set designed for extreme conditions.","","","",2,413708.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
100,FLE-0100,"Flexible Coupling Assembly",flexible-coupling-assembly,"Professional grade Flexible Coupling Assembly","Industrial Flexible Coupling Assembly designed for extreme conditions.","","","",2,337994.00,EUR,5,14,500,"200x200x200",,hardware,Streicher,24,1,1,1,2026-04-27 09:22:49,2026-04-27 09:22:49
